country;iso2;bee_richness;bee_declines_percent;Source
Spain;ES;1043;NA;NA
France;FR;769;NA;NA
Britain;NA;270;NA;NA
Holland;NA;328;NA;NA
Switzerland;NA;458;NA;NA
Denmark;NA;217;NA;NA
Germany;NA;566;NA;NA
Hungary;NA;505;NA;NA
Finland;NA;230;NA;NA
Ireland;NA;80;NA;NA
Iceland;NA;1;NA;NA
California;NA;1985;NA;NA
New_Mexico;NA;551;NA;NA
Wyoming;NA;663;NA;NA
North_Dakota;NA;244;NA;NA
Michigan;NA;403;NA;NA
North_Carolina;NA;521;NA;NA
Java;NA;193;NA;NA
Philippines;NA;233;NA;NA
Solomon_Islands;NA;24;NA;NA
Australia;NA;1618;NA;NA
Costa_Rica;NA;230;NA;NA
Panama;NA;353;NA;NA
Cuba;NA;107;NA;NA
Suriname;NA;293;NA;NA
Georgia;NA;356;NA;NA
Czech_Republic&Slovakia;NA;655;NA;NA
Poland;NA;469;NA;NA
Sweden;NA;284;NA;NA
Chihuahua;NA;396;NA;NA
Sonora;NA;359;NA;NA
Baja_California;NA;445;NA;NA
Sao_Paulo;NA;729;NA;NA