"","country","apidaepre1980","andrenidaepre1980","halictidaepre1980","colletidaepre1980","megachilidaepre1980","stenotritidaepre1980","melittidaepre1980","apidaepost1980","andrenidaepost1980","halictidaepost1980","colletidaepost1980","megachilidaepost1980","stenotritidaepost1980","melittidaepost1980","V16","post1980","pre1980"
"1","AD",9,3,0,0,0,4,0,0,3,0,0,0,4,0,0,16,7
"2","AE",10,0,369,369,0,4,0,0,0,369,369,0,4,0,0,752,742
"3","AF",117,44,167,167,31,97,0,5,44,167,167,31,97,0,5,623,511
"4","AG",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"5","AI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6","AL",4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,3
"7","AM",45,64,80,80,99,88,0,2,64,80,80,99,88,0,2,456,413
"8","AO",728,0,12,12,0,42,0,0,0,12,12,0,42,0,0,794,66
"9","AQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","AR",8671,1566,16816,16816,2002,1136,0,0,1566,16816,16816,2002,1136,0,0,47007,38336
"11","AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","AT",3307,2516,1590,1590,119,1292,0,115,2516,1590,1590,119,1292,0,115,10414,7222
"13","AU",22029,4,77088,77088,73061,16722,655,0,4,77088,77088,73061,16722,655,0,266647,244618
"14","AW",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1
"15","AX",18,21,20,20,56,65,0,0,21,20,20,56,65,0,0,200,182
"16","AZ",5,5,10,10,40,12,0,0,5,10,10,40,12,0,0,82,77
"17","BA",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"18","BB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","BD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"20","BE",5883,246,23445,23445,46,135,0,27,246,23445,23445,46,135,0,27,53200,47344
"21","BF",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1
"22","BG",120,43,45,45,122,59,0,126,43,45,45,122,59,0,126,434,440
"23","BH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","BI",47,0,0,0,0,10,0,0,0,0,0,0,10,0,0,57,10
"25","BJ",360,0,618,618,26,13,0,0,0,618,618,26,13,0,0,1635,1275
"26","BL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"27","BM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","BN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","BO",4971,29,764,764,609,991,0,0,29,764,764,609,991,0,0,8128,3157
"30","BQ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"31","BR",117707,2211,12693,12693,1993,11629,0,0,2211,12693,12693,1993,11629,0,0,158926,41219
"32","BS",20,0,82,82,33,26,0,0,0,82,82,33,26,0,0,243,223
"33","BT",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"34","BV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","BW",114,2,17,17,0,38,0,0,2,17,17,0,38,0,0,188,74
"36","BY",15,2,27,27,2,1,0,0,2,27,27,2,1,0,0,74,59
"37","BZ",267,0,49,49,2,6,0,0,0,49,49,2,6,0,0,373,106
"38","CA",42086,7187,20720,20720,3770,4599,0,8,7187,20720,20720,3770,4599,0,8,99082,57004
"39","CC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","CD",122,0,28,28,1,158,0,0,0,28,28,1,158,0,0,337,215
"41","CF",58,0,6,6,0,43,0,0,0,6,6,0,43,0,0,113,55
"42","CG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"43","CH",29848,57,91,91,42,91,0,1,57,91,91,42,91,0,1,30220,373
"44","CI",8,0,0,0,0,3,0,0,0,0,0,0,3,0,0,11,3
"45","CK",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"46","CL",1981,741,468,468,693,1429,0,0,741,468,468,693,1429,0,0,5780,3799
"47","CM",32,0,10,10,0,27,0,0,0,10,10,0,27,0,0,79,47
"48","CN",1380,9,75,75,30,178,0,2,9,75,75,30,178,0,2,1747,369
"49","CO",2665,24,697,697,71,84,0,1,24,697,697,71,84,0,1,4238,1574
"50","CR",52328,381,14697,14697,2661,5232,0,0,381,14697,14697,2661,5232,0,0,89996,37668
"51","CU",585,0,2738,2738,19,217,0,0,0,2738,2738,19,217,0,0,6297,5712
"52","CV",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"53","CW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","CX",1,0,6,6,0,11,0,0,0,6,6,0,11,0,0,24,23
"55","CY",225,24,40,40,4,67,0,0,24,40,40,4,67,0,0,400,175
"56","CZ",671,883,414,414,169,775,0,65,883,414,414,169,775,0,65,3326,2720
"57","DE",40854,10152,6972,6972,3111,6670,0,701,10152,6972,6972,3111,6670,0,701,74731,34578
"58","DJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","DK",3302,1011,1594,1594,53,24,0,4,1011,1594,1594,53,24,0,4,7578,4280
"60","DM",7,0,1,1,0,1,0,0,0,1,1,0,1,0,0,10,3
"61","DO",139,1,169,169,5,40,0,0,1,169,169,5,40,0,0,523,384
"62","DZ",69,6,8,8,2,21,0,0,6,8,8,2,21,0,0,114,45
"63","EC",2221,5,314,314,27,64,0,0,5,314,314,27,64,0,0,2945,724
"64","EE",7140,854,2069,2069,466,1167,0,78,854,2069,2069,466,1167,0,78,13765,6703
"65","EG",271,20,209,209,69,329,0,2,20,209,209,69,329,0,2,1107,838
"66","EH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","ER",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
"68","ES",1777,704,850,850,587,1491,0,177,704,850,850,587,1491,0,177,6259,4659
"69","ET",13,0,2,2,0,10,0,0,0,2,2,0,10,0,0,27,14
"70","FI",15689,8190,9793,9793,10462,14249,0,582,8190,9793,9793,10462,14249,0,582,68176,53069
"71","FJ",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"72","FK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","FM",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
"74","FO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","FR",1581,454,542,542,182,664,0,150,454,542,542,182,664,0,150,3965,2534
"76","GA",267,0,39,39,4,7,0,0,0,39,39,4,7,0,0,356,89
"77","GB",162487,22515,16930,16930,6171,8817,0,1013,22515,16930,16930,6171,8817,0,1013,233850,72376
"78","GD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","GE",7,0,0,0,7,0,0,0,0,0,0,7,0,0,0,14,7
"80","GF",2457,0,225,225,18,72,0,0,0,225,225,18,72,0,0,2997,540
"81","GG",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1
"82","GH",198,0,22,22,0,24,0,0,0,22,22,0,24,0,0,266,68
"83","GI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","GL",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
"85","GM",0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3
"86","GN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","GP",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
"88","GQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","GR",535,94,708,708,136,539,0,3,94,708,708,136,539,0,3,2720,2188
"90","GS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","GT",3204,32,1702,1702,132,479,0,0,32,1702,1702,132,479,0,0,7251,4047
"92","GU",2,0,1,1,1,3,0,0,0,1,1,1,3,0,0,8,6
"93","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","GY",627,1,58,58,3,1,0,0,1,58,58,3,1,0,0,748,121
"95","HK",98,0,12,12,1,5,0,0,0,12,12,1,5,0,0,128,30
"96","HM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","HN",551,22,112,112,11,18,0,0,22,112,112,11,18,0,0,826,275
"98","HR",266,66,61,61,21,264,0,5,66,61,61,21,264,0,5,739,478
"99","HT",10,0,6,6,0,4,0,0,0,6,6,0,4,0,0,26,16
"100","HU",91,82,40,40,18,386,0,3,82,40,40,18,386,0,3,657,569
"101","ID",891,0,75,75,3,87,0,0,0,75,75,3,87,0,0,1131,240
"102","IE",29275,2562,2220,2220,573,373,0,0,2562,2220,2220,573,373,0,0,37223,7948
"103","IL",51,6,30,30,136,111,0,0,6,30,30,136,111,0,0,364,313
"104","IM",22,5,8,8,2,0,0,0,5,8,8,2,0,0,0,45,23
"105","IN",2804,37,828,828,54,1159,0,3,37,828,828,54,1159,0,3,5710,2909
"106","IO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","IQ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"108","IR",1309,817,1584,1584,212,1552,0,1096,817,1584,1584,212,1552,0,1096,7058,6845
"109","IS",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"110","IT",1020,385,509,509,210,629,0,17,385,509,509,210,629,0,17,3262,2259
"111","JE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","JM",6,0,1,1,1,0,0,0,0,1,1,1,0,0,0,9,3
"113","JO",4,12,4,4,3,14,0,2,12,4,4,3,14,0,2,41,39
"114","JP",5899,1436,3140,3140,505,1851,0,13,1436,3140,3140,505,1851,0,13,15971,10085
"115","KE",359,1,80,80,19,84,0,3,1,80,80,19,84,0,3,623,267
"116","KG",109,1,0,0,4,32,0,0,1,0,0,4,32,0,0,146,37
"117","KH",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"118","KI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","KM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","KN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","KP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","KR",71,0,9,9,0,12,0,0,0,9,9,0,12,0,0,101,30
"123","KW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","KY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","KZ",14,0,6,6,9,3,0,1,0,6,6,9,3,0,1,38,25
"126","LA",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"127","LB",3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,2
"128","LC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"129","LI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","LK",1716,0,91,91,1,25,0,0,0,91,91,1,25,0,0,1924,208
"131","LR",4,0,1,1,0,3,0,0,0,1,1,0,3,0,0,9,5
"132","LS",461,38,304,304,147,577,0,45,38,304,304,147,577,0,45,1831,1415
"133","LT",14,4,1,1,0,1,0,0,4,1,1,0,1,0,0,21,7
"134","LU",835,329,2874,2874,174,426,0,15,329,2874,2874,174,426,0,15,7512,6692
"135","LV",12,0,1,1,0,1,0,0,0,1,1,0,1,0,0,15,3
"136","LY",20,0,0,0,0,3,0,0,0,0,0,0,3,0,0,23,3
"137","MA",389,419,353,353,84,675,0,5,419,353,353,84,675,0,5,2273,1889
"138","MC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","MD",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2
"140","ME",4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,3
"141","MF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","MG",1420,0,1085,1085,29,462,0,0,0,1085,1085,29,462,0,0,4081,2661
"143","MH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","MK",2,1,0,0,1,1,0,0,1,0,0,1,1,0,0,5,3
"145","ML",0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,2
"146","MM",158,0,86,86,0,6,0,0,0,86,86,0,6,0,0,336,178
"147","MN",46,14,9,9,41,27,0,4,14,9,9,41,27,0,4,146,104
"148","MO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","MP",9,0,80,80,0,42,0,0,0,80,80,0,42,0,0,211,202
"150","MQ",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"151","MR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"152","MS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"153","MT",2,11,14,14,0,8,0,0,11,14,14,0,8,0,0,49,47
"154","MU",2,0,0,0,0,5,0,0,0,0,0,0,5,0,0,7,5
"155","MV",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"156","MW",66,0,8,8,0,34,0,0,0,8,8,0,34,0,0,116,50
"157","MX",111329,18454,31316,31316,6334,18777,0,821,18454,31316,31316,6334,18777,0,821,217526,107018
"158","MY",889,0,21,21,0,23,0,0,0,21,21,0,23,0,0,954,65
"159","MZ",162,0,34,34,0,53,0,0,0,34,34,0,53,0,0,283,121
"160","NC",17,1,314,314,17,76,0,0,1,314,314,17,76,0,0,739,722
"161","NE",0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,4,4
"162","NF",0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3
"163","NG",121,0,50,50,0,22,0,0,0,50,50,0,22,0,0,243,122
"164","NI",1192,0,284,284,4,95,0,0,0,284,284,4,95,0,0,1859,667
"165","NL",6748,2894,2132,2132,1520,1422,0,272,2894,2132,2132,1520,1422,0,272,16848,10372
"166","NO",56127,8417,9164,9164,3923,3379,0,348,8417,9164,9164,3923,3379,0,348,90174,34395
"167","NP",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"168","NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","NU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","NZ",2121,0,758,758,509,158,0,0,0,758,758,509,158,0,0,4304,2183
"171","OM",43,5,57,57,2,38,0,0,5,57,57,2,38,0,0,202,159
"172","PA",2258,6,745,745,44,77,0,0,6,745,745,44,77,0,0,3875,1617
"173","PE",7931,118,2470,2470,883,634,0,0,118,2470,2470,883,634,0,0,14506,6575
"174","PF",2,0,0,0,0,22,0,0,0,0,0,0,22,0,0,24,22
"175","PG",164,0,9,9,0,33,0,0,0,9,9,0,33,0,0,215,51
"176","PH",162,1,8,8,0,18,0,0,1,8,8,0,18,0,0,197,35
"177","PK",245,38,51,51,9,126,0,0,38,51,51,9,126,0,0,520,275
"178","PL",8237,80,99,99,33,33,0,7,80,99,99,33,33,0,7,8581,351
"179","PM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","PN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"181","PR",210,0,90,90,0,0,0,0,0,90,90,0,0,0,0,390,180
"182","PS",5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,10,5
"183","PT",114,9,22,22,33,32,0,0,9,22,22,33,32,0,0,232,118
"184","PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","PY",1017,37,124,124,36,51,0,0,37,124,124,36,51,0,0,1389,372
"186","QA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","RE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","RO",304,44,37,37,23,32,0,7,44,37,37,23,32,0,7,477,180
"189","RS",22,1,9,9,2,2,0,0,1,9,9,2,2,0,0,45,23
"190","RU",792,70,71,71,13,116,0,16,70,71,71,13,116,0,16,1133,357
"191","RW",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"192","SA",162,2,3,3,2,7,0,1,2,3,3,2,7,0,1,179,18
"193","SB",17,0,3,3,0,2,0,0,0,3,3,0,2,0,0,25,8
"194","SC",8,0,0,0,0,4,0,0,0,0,0,0,4,0,0,12,4
"195","SD",1,0,0,0,0,6,0,0,0,0,0,0,6,0,0,7,6
"196","SE",103373,46091,46318,46318,20000,22504,0,5501,46091,46318,46318,20000,22504,0,5501,284604,186732
"197","SG",87,0,3,3,0,0,0,0,0,3,3,0,0,0,0,93,6
"198","SH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","SI",47,14,16,16,2,12,0,0,14,16,16,2,12,0,0,107,60
"200","SJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","SK",27,15,9,9,5,4,0,0,15,9,9,5,4,0,0,69,42
"202","SL",5,0,0,0,0,16,0,0,0,0,0,0,16,0,0,21,16
"203","SM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","SN",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"205","SO",2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,3
"206","SR",287,0,30,30,0,3,0,0,0,30,30,0,3,0,0,350,63
"207","SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","ST",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"209","SV",156,9,78,78,2,4,0,0,9,78,78,2,4,0,0,327,171
"210","SX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","SY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","SZ",7,0,5,5,0,0,0,0,0,5,5,0,0,0,0,17,10
"213","TC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","TD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","TF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","TG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","TH",413,0,0,0,0,102,0,0,0,0,0,0,102,0,0,515,102
"218","TJ",6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1
"219","TK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","TL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"221","TM",4,0,0,0,6,1,0,3,0,0,0,6,1,0,3,11,10
"222","TN",18,12,7,7,7,28,0,0,12,7,7,7,28,0,0,79,61
"223","TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","TR",271,266,239,239,48,213,0,6,266,239,239,48,213,0,6,1276,1011
"225","TT",232,0,2,2,0,6,0,0,0,2,2,0,6,0,0,242,10
"226","TV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","TW",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
"228","TZ",734,1,424,424,11,167,0,3,1,424,424,11,167,0,3,1761,1030
"229","UA",218,299,371,371,147,324,0,28,299,371,371,147,324,0,28,1730,1540
"230","UG",75,0,15,15,0,24,0,0,0,15,15,0,24,0,0,129,54
"231","UM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232","US",429922,238300,442123,442123,51927,183303,0,8745,238300,442123,442123,51927,183303,0,8745,1787698,1366521
"233","UY",83,0,0,0,0,2,0,0,0,0,0,0,2,0,0,85,2
"234","UZ",13,2,6,6,0,9,0,11,2,6,6,0,9,0,11,36,34
"235","VA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","VC",12,0,28,28,0,16,0,0,0,28,28,0,16,0,0,84,72
"237","VE",1425,0,363,363,188,79,0,0,0,363,363,188,79,0,0,2418,993
"238","VG",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"239","VI",50,0,40,40,0,3,0,0,0,40,40,0,3,0,0,133,83
"240","VN",207,0,1,1,0,4,0,0,0,1,1,0,4,0,0,213,6
"241","VU",0,0,5,5,0,0,0,0,0,5,5,0,0,0,0,10,10
"242","WF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243","WS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","YE",9,0,9,9,0,11,0,0,0,9,9,0,11,0,0,38,29
"245","YT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","ZA",23739,216,5419,5419,2655,10720,0,3064,216,5419,5419,2655,10720,0,3064,48168,27493
"247","ZM",81,0,23,23,1,244,0,0,0,23,23,1,244,0,0,372,291
"248","ZW",1304,9,297,297,68,775,0,3,9,297,297,68,775,0,3,2750,1449
"249","NA",2016,348,1115,1115,191,1725,0,281,348,1115,1115,191,1725,0,281,6510,4775
